refid,unittitle,unitdate,container_type,container_label,extent,extent_desc,note_title,note_text,persname_1,persname_2,persname_3,persname_4
ref47,Untitled Thesis (Sohee Won),1992,Box,Moving Images (1992-ref47),1.0 object,One VHS in original box sleeve,,,"Won, Sohee",,,
ref49,Untitled Thesis (Kum Yean Park),1993,Box,Moving Images (1993-ref49),1.0 object,VHS cassette in original box sleeve,,,"Park, Kum Yean",,,
ref51,Medieval Spain,1994,Box,Moving Images (1994-ref51),1.0 object,VHS cassette in original box sleeve,,,"Canelos, Marlene","Wanchai, Mann",,
ref60,Marshall Street Life,1994,Box,Moving Images (1994-ref60),1.0 object,3/4 U-matic tape in orginal plastic box,,,"Nadler, Eric",,,
ref62,The Neighborhood Works,1994,Box,Moving Images (1994-ref62),1.0 object,3/4 Umatic Tape in orginal box,,,"Northrup, Dan",,,
ref57,VICAR: A Proposal for Personal Cryptography,1995,Box,Computer disks / tapes (1995-ref57),1.0 object,SyQuest 44MB Cartridge in Orginal Box Container,,,"Markowitz, Gary C",,,
ref64,Her American Dreams and More,1996,Box,Moving Images (1996-ref64),1.0 boxes,3/4 video tape in orginal plastic box,,,"Shen, Chian-Lieng",,,
ref54,Introducing Radio Free Monterey: Vignettes from an Online Life,2000,Box,Moving Images (2000-ref54),1.0 object,VHS cassette in original box sleeve,Spine Label,"Technosuit @ LSC orginal, Yorb original","Steinberg, Barbra",,,
ref100,Shallow People / Deep City,2006,Box,Computer disks / tapes (2006-ref100),1.0 object,One DVD-R in plastic jewel case,Case Jacket,"Series of video shorts with various titles, which comprise the thesis","Bergfeld, Lasse",,,
ref200,Nothing Sacred,2003,Box,Computer disks / tapes (2003-ref200),1.0 object,One DVD-R in plastic jewel case,,,"Rubinoff, Leba",,,
ref202,The Zipwire: An Alternative Approach to Internet Communication,2007,Box,Computer disks / tapes (2007-ref202),1.0 object,One DVD-R in plastic jewel case,,,"Kairalla, Christopher",,,
ref102,Mythos vs. Chronos,2004,Box,Computer disks / tapes (2004-ref102),2.0 objects,"One DVD+R, one DVD-R - both in  plastic jewel case",On disk,"disk 1 of 2, disk 2 of 2","Alkadhi, Ayad",,,
ref104,Mosaic Life,2001,Box,Computer disks / tapes (2001-ref104),1.0 object,One DVD in plastic jewel case,,,"Thongthai, Cathriya",,,
ref106,Expressive Media,2005,Box,Computer disks / tapes (2005-ref106),1.0 object,One DVD-R in plastic jewel case,Case Jacket,list of contents,"Borissov, Liubo",,,
ref300,Untitled Thesis (Stephen Schaum),2006,Box,Computer disks / tapes (2006-ref300),1.0 object,One CD in plastic jewel case,On disk, Thesis Documentation Videos ,"Schaum, Stephen",,,
ref302,Corpus Projecti,2006,Box,Computer disks / tapes (2006-ref302),1.0 object,One DVD-R in plastic jewel case,On disk,Performance Clip & Photos,"Sifuentes, Lian A.",,,
ref304,Integrative Moviemaking,2004,Box,Computer disks / tapes (2004-ref304),1.0 object,One DVD-R in plastic jewel case,On disk,"""Urges""","Vitale, Pamela",,,
ref306,Minnie’s Meise,2002,Box,Computer disks / tapes (2002-ref306),1.0 object,One DVD-R in plastic jewel case,,,"Cohen, Lisa",,,
ref308,The Window Seat: extending the ephemeral and precious moments of life,2004,Box,Computer disks / tapes (2004-ref308),1.0 object,One DVD-R in plastic jewel case,,,"Fang, Tsui-Hung",,,
ref310,Break The Frame: A comment on how technology is affecting humanity,2005,Box,Computer disks / tapes (2005-ref310),1.0 object,One DVD-R in plastic jewel case,,,"Hitchings, Jamie",,,
ref312,Diya,2006,Box,Computer Disks / tapes (2006-ref312),1.0 object,One DVD in plastic jewel case,On disk,Appendix A,"Israni, Aranka",,,
ref314,The Council on the Environment of New York City Web Site,1997,Box,Moving Images (1997-ref314),2.0 objects,"One VHS cassette in original box sleeve, one 31/2 inch floppy disk","On VHS Cassette, on floppy disk","VHS: CENYC 54 Chambers St, New York, NY 1007. 104-50-6866. Fred Duca (212) 827-2315, (516) 888-8176.  Floppy disk: CENYC Website (copy). 104-50-6866 also on: http://fargo.itp.tsoa.nyu.edu/~duca/CENYC/indext.htm","Duca, Fred",,,
ref316,Subway Guide to New York Sites,1991,Box,Moving Images (1991-ref316),1.0 object,One VHS Cassette in plastic case,"On VHS Cassette Case, on VHS cassette label","Interactive Subway Guide to NY Sights demo + sample segments from videodisc (approx. 9 min), Prototype of an Interactive Subway Guide to New York Sights demo voiceover by Craig Wollman","Lee, Georgina",,,
ref318,The Western Lands,1998,Box,Moving Images (1998-ref318),1.0 object,One VHS Cassette in original box sleeve,On VHS Cassette,Todd Hulin business card e: cth0769@is4.nyu.edu t: 212 529 3184,"Hulin, Todd",,,
ref320,Radio Free Monterey,2000,Box,Moving Images (2000-ref320),1.0 object,One VHS Cassette,On VHS cassette,Thesis Videotape/ITP for Dan O'Sullivan & Red Burns from Barbara Steinberg,"Steinberg, Barbra",,,
ref322,Cross-Platform Multimedia,1992,Box,Moving Images (1992-ref322),1.0 object,One VHS Cassette,On VHS cassette,,"Heller, Justin",,,
ref324,The Family Archive Project,1996,Box,Moving Images (1996-ref324),1.0 object,One VHS Cassette,,,"Tardiff, Melissa",,,
ref326,The Introductory Show and Tell Tutorial of HyperCard,1991,Box,Moving Images (1991-ref326),1.0 object,One VHS Cassette,On VHS cassette,thesis project demonstration,"Weiss, Bill",,,
ref328,well (distant recollections),2000,Box,Moving Images (2000-ref328),1.0 object,One VHS Cassette,On VHS cassette,,"Hara, Kiyoshi",,,
ref330,Gay Rights,1991,Box,Moving Images (1991-ref330),1.0 object,U-Matic cassette in original plastic box,On cassette,Master,"Smith, Adrienne",,,
ref332,The Nanzetta Legacy,1998,Box,Moving Images (1998-ref332,1.0 object,One VHS Cassette in original box sleeve,On cassette,"unprocessed footage from ""Nanzetta legacy""","Jefferson, Kristin",,,
ref334,The Rapture of a New Network: CyberNetworks- The Distribution Mode and Future Forms of Music,1992,Box,Moving Images (1992-ref334),1.0 object,One VHS Cassette in original box sleeve,On cassette,Silhouettes of Epiphanies. 15:00,"Russel, Kevin P.",,,
ref336,African-American Pride,1995,Box,Moving Images (1995-ref336),1.0 object,One VHS Cassette in original box sleeve,,,"Brown, Robert",,,
ref338,First Person,2002,Box,Moving Images (2002-ref338),1.0 object,One VHS Cassette in original box sleeve,,,"Harris-Cronin, Sasha",,,
ref340,Interactive Cookbook,1994,Box,Moving Images (1994-ref340),1.0 object,One VHS Cassette in original box sleeve,,,"Park, Gok-Nim",,,
ref342,Five,2000,Box,Moving Images (2000-ref342),1.0 object,One VHS Cassette in original box sleeve,,,"Inniss, Maxine",,,
ref344,Ecstasy is in the Wire (Nsinga a Mayenbu),2003,Box,Moving Images (2003-ref344),1.0 object,One VHS Cassette in original box sleeve,,,"Halsel, Michelle",,,
ref346,www.mydeadmother.com,2000,Box,Moving Images (2000-ref346),1.0 object,One VHS Cassette,On cassette,Techstalgia -2-,"Kain, Philip",,,
ref348,Valbum,2000,Box,Moving Images (2000-ref348),1.0 object,One VHS Cassette in original box sleeve,,,"Cha, Siyeon",,,
ref350,Whitney Vision,1995,Box,Moving Images (1995-ref350),1.0 object,One VHS Cassette in original box sleeve,On cassette,Video demo (15 minutes),"Glassman, Heath",,,
ref352,Persephone: a play for multi-media,1999,Box,Moving Images (1999-ref352),1.0 object,One VHS Cassette in original box sleeve,"On cassette spine, on cassette label","Fri night performance, P + Maria's footage","Cowen, Minda","Patek, Liz",,
ref354,8th Avenue Yenta,1998,Box,Moving Images (1998-ref354),1.0 object,One VHS Cassette in original box sleeve,On cassette spine,http://fargo.tip.tsoa.nyu.edu/~clifton/yenta,"Clifton, Gregg",,,
ref204,Lost Road Map,2003,Box,Computer disks / tapes (2003-ref204),1.0 object,One DVD-R in plastic jewel case,,,"Vlachos, Paul",,,
ref108,Unraveled/Recoiled,2005,Box,Computer disks / tapes (2005-ref108),5.0 objects,"3 CD-R, and 2 DVD-R discs all in plastic jewel cases",On disk,"CD1: Thesis, CD2: Thesis, CD3: Thesis Additional, DVD1: Thesis, DVD2: Thesis","Richard, Gabriela",,,
ref206,Desperately Seeking,2006,Box,Computer disks / tapes (2006-ref206),2.0 objects,Two DVD-Rs in plastic jewel case,,,"Manoussakis, Kleoni",,,
ref208,Temporary Tattoo,2003,Box,"Computer disks / tapes, USB Flash Drive (2003-ref208)",7.0 objects,"Four DVD-Rs in plastic jewel cases, Two CD-Rs in plastic jewel case, One USB Drive",Jewel case label,"DVD1 & DVD3: A Perfect Day in Bananafish, DVD4: ""Are We There Yet"" Temporary Tattoo","Papadopoulos, Despina",,,
ref110,The Story of Peachtaro,1996,Box,Moving Images (1996-ref110),1.0 objects,One VHS in original box sleeve,,,"Wang, Hsiao-Ling",,,
ref210,The Yoga Encyclopedia,2003,Box,Computer disks / tapes (2003-ref210),2.0 objects,Two DVD-Rs in plastic jewel case,Jewel case insert,"Interactive Yoga Reference Disk #1, Interactive Yoga Reference Disk #2","Kalra, Simrun",,,
ref212,Helmet Guy Zero,2005,Box,Computer disks / tapes (2005-ref212),1.0 object,One DVD-R in plastic jewel case,,,"Tsang, Donny",,,
ref214,FATTITUDES: An Interactive Documentary on Attitudes Toward Weight,1989,Box,Moving Images (1989-ref214),1.0 object,VHS cassette in original plastic box,,,"Cobetto, Lissa",,,
ref216,GLIS: The Gay & Lesbian Information System,1994,Box,Moving Images (1994-ref216),1.0 object,VHS cassette in original box sleeve,,,"Gwen Green, P.",,,
ref218,"Untitled Thesis (Munglioli, Lorraine)",1993,Box,Moving Images (1993-ref218),1.0 object,VHS cassette in original box sleeve,,,"Munglioli, Lorraine",,,
ref220,"Untitled Thesis (Ledbetter, Bruce)",1997,Box,Moving Images (1997-ref220),1.0 object,VHS cassette in original box sleeve,,,"Ledbetter, Bruce",,,
ref222,Pitch Green Dark,1998,Box,Moving Images (1998-ref222),1.0 object,VHS cassette in original box sleeve,,,"Lewis, Nancy",,,
