refid,unittitle,unitdate,container_type,container_label,extent,extent_desc,note_title,note_text,persname_1,persname_2,persname_3,persname_4
ref1008,I-Guide,2000,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/1/cuyler.joele.2000.thesis.doc.pdf,Joele Cuyler,,,
ref1009,Civil Remote Sensing in the United States: applications and privitization,1991,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/2/demac.donna.1991.thesis.doc.pdf,Donna Demac,,,
ref1010,Civil Remote Sensing in the United States: applications and privitization,1991,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/3/elton.martin.1991.thesis.doc.pdf,Martin Elton,,,
ref1011,History Forge,2000,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/4/esposito.christopher.2000.thesis.doc.pdf,Christopher Esposito,,,
ref1012,Birth Stories,2000,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/5/fishman.miriam.2000.thesis.doc.pdf,Miriam Fishman,,,
ref1013,Screen Share,2001,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/6/fukumoto.scott.2001.thesis.doc.pdf,Scott Fukumoto,,,
ref1014,EatSquid,2000,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/7/gaw.julie.2000.thesis.doc.pdf,Julie Gaw,,,
ref1015,Disappeared/Desaparecidos,1995,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/8/abeson.kristina.1995.thesis.doc.PDF,Kristina Abeson,,,
ref1016,BF 1237,2003,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/9/abouricheh.bana.2003.thesis.doc.PDF,Bana Abouricheh,,,
ref1017,Score Your Life,2004,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/10/acevedo.guillermo.2004.thesis.doc.PDF,Guillermo Acevedo,,,
ref1018,Video Production Website,2000,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/11/adelman.joan.2000.thesis.doc.PDF,Joan Adelman,,,
ref1019,Mythos VS Chronos,2004,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/12/alkadhi.ayad.2004.thesis.doc.PDF,Ayad Alkadhi,,,
ref1020,Modes for Urban Moods,2005,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/13/almeida.teresa.2005.thesis.doc.PDF,Teresa Almeida,,,
ref1021,Angel of History,2004,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/14/altaratz.doron.2004.thesis.doc.PDF,Doron Altaratz,,,
ref1022,Mad Media,1997,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/15/altmann.madeleine.1997.thesis.doc.PDF,Madeleine Altmann,,,
ref1023,FACEChiidren: Fee Advocate Educate Children Orphaned by AIDS in Africa,2000,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/16/aluoch.sandra.2000.thesis.doc.PDF,Sandra Aluoch,,,
ref1024, Dreamtime,2002,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/17/amagliani.max.2002.thesis.doc.PDF,Max Amagliani,,,
ref1025,Intelligelnt Workstations for Human Communications Support: A Conceptual Framework,1984,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/18/amidon.david.1984.thesis.doc.PDF,David Amidon,,,
ref1026,Follow Me,1996,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/19/amram.noam.1996.thesis.doc.PDF,Noah Amram,,,
ref1027,Social GPS,2005,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/20/anema.rebecca.2005.thesis.doc.PDF,Rebecca Anema,,,
ref1028,Strange Attractor,2007,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/21/ang.michael.2007.thesis.doc.PDF,Michael Ang,,,
ref1029,The Virtual Museum,1992,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/22/applin.sallyann.1992.thesis.doc.PDF,Sally Ann  Applin,,,
ref1030,The Electronic Peephole,1990,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/23/arifakis.karen.1990.thesis.doc.PDF,Karen Arifakis,,,
ref1031,Logmedia.com,2001,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/24/arony.dan.2001.thesis.doc.PDF,Dan Arony,,,
ref1032,Archchive,2005,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/25/arora.anjali.2005.thesis.doc.PDF,Anjali Arora,,,
ref1033,HandyAid: A Portable Device for Pediatric Emergencies,1999,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/26/arum.lizabeth.1999.thesis.doc.PDF,Lizabetli Arum,,,
ref1034,HandyAid: A Portable Device for Pediatric Emergencies,1999,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/27/arum.lizabeth.1999.thesis.PDF,Lizabetli Arum,,,
ref1035,Narrative Structure: An Interactive Database with Video,1988,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/28/aspelund.erling.1988.thesis.doc.PDF,Erling Aspelund,,,
ref1036,Voice: War and Terror,2003,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/29/azekawa.hanako.2003.thesis.doc.PDF,Hanako Azekawa,,,
ref1037,Yarbus 1.0: Eye-Tracking Software for Mac as xTiger,2005,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/30/babcock.jason.2005.thesis.doc.PDF,Jason Babcock,,,
ref1038,Intuitive Immediacy and Technology,1997,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/31/bachmann.laurie.1997.thesis.doc.PDF,Laurie Bachmann,,,
ref1039,Worldnet: the Global Coverage of American News,1987,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/32/back.deborah.1987.thesis.doc.PDF,Deborah Back,,,
ref1040,The New Frontier: Fiber Optics and its effect on Cable TV in New Y ork City,1993,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/33/bailey.beatrice.1993.thesis.doc.PDF,Beatrice Bailey,,,
ref1041,Getting Over Usability: Designing Strong Online Brand Experiences,2005,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/34/bain.shannon.2005.thesis.doc.PDF,Shannon Bain,,,
ref1042,Future Video Networks: An Alternative Scenario,1988,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/35/baker.rob.1988.thesis.doc.PDF,Rob Baker,,,
ref1043,Desktop Pre-press Publishing,1989,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/36/bakish.dafna.1989.thesis.doc.PDF,Dafna Bakish,,,
ref1044,Kindernet: The Effects of Online Education for Primary and Secondary Schools,1994,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/37/baldwin.victoria.1994.thesis.PDF,Victoria Baldwin,,,
ref1045,Whispering Objects: Revealing tne hidden stories in things,2005,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/38/banlaki.katalin.2005.thesis.doc.PDF,Katalin Banlaki,,,
ref1046,Hyper Ads By U,2007,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/39/banskota.anil.2007.thesis.doc.PDF,Anil Banskota,,,
ref1047,L'Etudiant: an Online magazine,1999,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/40/baram.effie.1999.thesis.doc.PDF,Effie Baram,,,
ref1048,GameCast: Developing A Spectating Platform For Multiplayer First person Shooter Games,2003,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/41/barashi.yoav.2003.thesis.doc.PDF,Yoav Barashi,,,
ref1049,IN-BAGS: an exploration of personal expresssion through assistive technology,2007,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/42/barden.pollie.2007.thesis.doc.PDF,Pollie Barden,,,
ref1050,VideoPhonics: Expanding Video Production Into Special Education Classrooms,2006,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/43/bartolini.daniel.2006.thesis.PDF,Daniel Bartolini,,,
ref1051,NY Observers,2003,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/44/barton.jake.2003.thesis.doc.PDF,Jake  Barton,,,
ref1052,Network Visualization Tool,2004,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/45/bauducco.diego.2004.thesis.doc.PDF,Diego Bauducco,,,
ref1053,Global Variable,1998,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/46/baxi.kadambari.1998.thesis.doc.PDF,Kadambari Baxi,,,
